date,open,high,low,close,volume
2025-11-03,245.4799957,250.3000031,245.3300018,247.8800049,331024
2025-11-04,255,255,241.25,248.0700073,1291581
2025-11-05,248.0700073,248.0700073,248.0700073,248.0700073,0
2025-11-06,248.4900055,248.6000061,244,244.8500061,354486
2025-11-07,244.1999969,244.1999969,240,242.4900055,377072
2025-11-10,244,244.5,242.2599945,243.0700073,230852
2025-11-11,243.9900055,253,239.9499969,247.7599945,1551375
2025-11-12,247.4900055,251.0500031,246,249.0399933,713648
2025-11-13,250,250.2400055,245,245.25,500921
2025-11-14,244.9700012,248.5899963,243.3000031,246.3200073,337725
2025-11-17,247,254.8000031,246,252.5,1422760
2025-11-18,251.5,252.1000061,247.5,251.3899994,608860
2025-11-19,252,252,249.3000031,249.6900024,285257
2025-11-20,249,250.5,247,247.6100006,297540
2025-11-21,247.6100006,259.7000122,245.1000061,246.8300018,7908567
2025-11-24,246.5,246.8800049,243,245.3200073,565116
2025-11-25,244.3899994,244.5099945,233.5899963,236.6399994,1459400
2025-11-26,238,242.9700012,236.6999969,239.5299988,394664
2025-11-27,240.1999969,242.6999969,237.5,238.1499939,350548
2025-11-28,238.1499939,238.8000031,235.5,237.0299988,336720
2025-12-01,237.6799927,238.3800049,230.0500031,230.6900024,820862
2025-12-02,230.6900024,231.3999939,228.5599976,230.1199951,362869
2025-12-03,230.1199951,235.0599976,230.1199951,231.6300049,366436
2025-12-04,230.6000061,231.8800049,229,229.2599945,225016
2025-12-05,229.1999969,230.7200012,227.1199951,229.4600067,288550
2025-12-08,228.9900055,229.4600067,221.0299988,222.3600006,498737
2025-12-09,221.1499939,230.8000031,217.1199951,228.2200012,804997
2025-12-10,228.2200012,229.3500061,223,223.9700012,307178
2025-12-11,223.8999939,227,220.6300049,225.8899994,463430
2025-12-12,226.5,227.6900024,225.6000061,227.2400055,307101
2025-12-15,226.4100037,229.3800049,225.1699982,228.5,287594
2025-12-16,228,228.1000061,224.1600037,225.1399994,203465
2025-12-17,224.1999969,225.9199982,222.25,223.2100067,247906
2025-12-18,223.25,223.4100037,220.0500031,222.6600037,180939
2025-12-19,223.4900055,227.6000061,222.7100067,226.5500031,271775
2025-12-22,230,234.8999939,229.4499969,232.6000061,1294950
2025-12-23,235.9900055,252.2799988,234.5,241.9499969,9065054
2025-12-24,242.6699982,246.5,240.8200073,242.6000061,1151718
2025-12-25,242.6000061,242.6000061,242.6000061,242.6000061,0
2025-12-26,242.1999969,257.3800049,240.8500061,252.6499939,6686823
2025-12-29,254,254.8999939,243.8399963,245.0200043,1198576
2025-12-30,243.2599945,246.8000031,236.8000031,237.2700043,1333081
2025-12-31,241.8999939,254.75,240.0899963,242.8099976,10680565
